baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,gene_name,NAME,GENE FAMILY,MOLECULAR TYPE,LOCATION
2033.166983,0.17633722,0.125551443,1.404501741,0.160169494,0.535436091,ENSG00000134001,EIF2S1,eukaryotic translation initiation factor 2 subunit alpha,None,translation regulator,14q23.3
66.21991666,-0.292385224,0.208878656,-1.399785073,0.161577689,0.537725507,ENSG00000087470,DNM1L,dynamin 1 like,None,enzyme,12p11.21
18.72477643,-0.586796832,0.427263105,-1.373385216,0.169632623,0.549069419,ENSG00000167323,STIM1,stromal interaction molecule 1,MicroRNA protein coding host genes|Sterile alpha motif domain containing,ion channel,11p15.4
175.1870135,-0.199336176,0.145676059,-1.36835234,0.171201815,0.552008086,ENSG00000168610,STAT3,signal transducer and activator of transcription 3,SH2 domain containing,None,17q21.2
90.99527824,-0.228549259,0.167994109,-1.360459958,0.173684416,0.554815895,ENSG00000144566,RAB5A,"RAB5A, member RAS oncogene family","RAB, member RAS oncogene GTPases",other,3p24.3
2948.237511,0.131178881,0.097747219,1.342021611,0.179588989,0.562291928,ENSG00000213585,VDAC1,voltage dependent anion channel 1,Voltage dependent anion channels,ion channel,5q31.1
134.9459763,-0.216336111,0.163346059,-1.324403615,0.185369035,0.569416292,ENSG00000079999,KEAP1,kelch like ECH associated protein 1,BTB domain containing|Kelch like,transcription regulator,19p13.2
21.88435899,-0.433695976,0.328718115,-1.319355269,0.187050369,0.571621906,ENSG00000055332,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2,Protein phosphatase 1 regulatory subunits|Eukaryotic translation initiation factor 2 alpha kinases,kinase,2p22.2
39.20243487,-0.320943952,0.245358668,-1.308060377,0.190852832,0.573889693,ENSG00000132256,TRIM5,tripartite motif containing 5,Tripartite motif family|Ring finger proteins,enzyme,11p15.4
57.79867456,-0.274124918,0.210101882,-1.304723762,0.191986927,0.575060259,ENSG00000050748,MAPK9,mitogen-activated protein kinase 9,Mitogen-activated protein kinases,kinase,5q35.3
75.44130963,-0.251503971,0.195986827,-1.283269772,0.199397579,0.583258783,ENSG00000112977,DAP,death associated protein,None,transcription regulator,5p15.2
